"Team","Opp","Player1","Player2","Player3","Salary","Proj","Value"
"COL","PHI - Gibson ( R )","C.J. Cron","Kris Bryant","Sam Hilliard",11900,27.4,2.3
"TB","@CHC - Steele ( L )","Kevin Kiermaier","Mike Zunino","Wander Franco",12900,27.4,2.1
"PHI","@COL - Freeland ( L )","Bryce Harper","Bryson Stott","Jean Segura",15100,27.4,1.8
"MIL","PIT - Brubaker ( R )","Kolten Wong","Rowdy Tellez","Willy Adames",11700,27.4,2.3
"COL","PHI - Gibson ( R )","C.J. Cron","Charlie Blackmon","Sam Hilliard",11300,27.3,2.4
"BOS","TOR - Kikuchi ( L )","Alex Verdugo","J.D. Martinez","Xander Bogaerts",14600,27.3,1.9
"TOR","@BOS - Eovaldi ( R )","Bo Bichette","George Springer","Lourdes Gurriel",14300,27.3,1.9
"TB","@CHC - Steele ( L )","Brandon Lowe","Kevin Kiermaier","Wander Franco",13800,27.3,2
"WSH","ARI - Gilbert ( L )","Lane Thomas","Maikel Franco","Nelson Cruz",11200,27.3,2.4
"WSH","ARI - Gilbert ( L )","Josh Bell","Juan Soto","Keibert Ruiz",15200,27.3,1.8
"HOU","LAA - Sandoval ( L )","Alex Bregman","Jose Altuve","Yuli Gurriel",15200,27.3,1.8
"TOR","@BOS - Eovaldi ( R )","Bo Bichette","Matt Chapman","Vladimir Guerrero Jr.",14600,27.3,1.9
"ARI","@WAS - Adon ( R )","Daulton Varsho","Pavin Smith","Seth Beer",10000,27.3,2.7
"BOS","TOR - Kikuchi ( L )","Christian Vazquez","Trevor Story","Xander Bogaerts",14100,27.2,1.9
"ARI","@WAS - Adon ( R )","Christian Walker","Ketel Marte","Pavin Smith",11400,27.2,2.4
"TOR","@BOS - Eovaldi ( R )","Bo Bichette","George Springer","Raimel Tapia",13400,27.2,2
"WSH","ARI - Gilbert ( L )","Cesar Hernandez","Juan Soto","Maikel Franco",13200,27.2,2.1
