"Player","Pos","Team","Salary","Proj","Value","OptPos","Pos2","Pos1","Opp"
"Justin Turner","3B","LAD",4800,8.18,1.7,"3B","","3B","@ARI - Kelly - R"
"Julio Rodriguez","OF","SEA",5500,8.14,1.5,"OF","","OF","SD - Darvish - R"
"LaMonte Wade Jr.","1B/OF","SF",2900,8.13,2.8,"1B/OF","OF","1B","ATL - Wright - R"
"Kyle Garlick","OF","MIN",2300,8.13,3.5,"OF","","OF","KC - Bubic - L"
"Corey Dickerson","OF","STL",2800,8.12,2.9,"OF","","OF","MIL - Bush - R"
"Jake Cronenworth","2B","SD",3900,8.1,2.1,"2B","","2B","@SEA - Gilbert - R"
"Nelson Cruz","OF","WSH",2500,8.09,3.2,"OF","","OF","BAL - Kremer - R"
"Vaughn Grissom","2B","ATL",3400,8.08,2.4,"2B","","2B","@SF - Junis - R"
"Yasmani Grandal","C","CWS",2800,8.07,2.9,"C","","C","COL - Kuhl - R"
"Ketel Marte","2B","ARI",4200,8.04,1.9,"2B","","2B","LAD - Kershaw - L"
"Tommy Pham","OF","BOS",4600,7.92,1.7,"OF","","OF","NYY - Cole - R"
"Joey Gallo","OF","LAD",3400,7.92,2.3,"OF","","OF","@ARI - Kelly - R"
"Gary Sanchez","C","MIN",3000,7.87,2.6,"C","","C","KC - Bubic - L"
"Cody Bellinger","OF","LAD",3800,7.85,2.1,"OF","","OF","@ARI - Kelly - R"
"Christian Yelich","OF","MIL",4900,7.84,1.6,"OF","","OF","@STL - Montgomery - L"
"Yandy Diaz","3B","TB",4700,7.84,1.7,"3B","","3B","@TOR - Merryweather - R"
"Mike Yastrzemski","OF","SF",3800,7.84,2.1,"OF","","OF","ATL - Wright - R"
"MJ Melendez","C/OF","KC",4800,7.82,1.6,"C/OF","OF","C","@MIN - Ryan - R"
"Eugenio Suarez","3B","SEA",4600,7.82,1.7,"3B","","3B","SD - Darvish - R"
"Wander Franco","SS","TB",4500,7.79,1.7,"SS","","SS","@TOR - Merryweather - R"
"Vinnie Pasquantino","1B","KC",2100,7.78,3.7,"1B","","1B","@MIN - Ryan - R"
"Ian Happ","OF","CHC",4200,7.77,1.8,"OF","","OF","@NYM - deGrom - R"
"Nolan Gorman","2B","STL",3800,7.77,2,"2B","","2B","MIL - Bush - R"
"Josh Bell","1B","SD",4600,7.76,1.7,"1B","","1B","@SEA - Gilbert - R"
"Jake McCarthy","OF","ARI",3800,7.72,2,"OF","","OF","LAD - Kershaw - L"
"Gunnar Henderson","2B/SS","BAL",3400,7.72,2.3,"2B/SS","SS","2B","@WAS - Abbott - R"
"Marcell Ozuna","OF","ATL",2400,7.72,3.2,"OF","","OF","@SF - Junis - R"
"Luis Garcia","2B","WSH",3400,7.67,2.3,"2B","","2B","BAL - Kremer - R"
"Luis Arraez","1B","MIN",3400,7.64,2.2,"1B","","1B","KC - Bubic - L"
"Alex Verdugo","OF","BOS",4200,7.63,1.8,"OF","","OF","NYY - Cole - R"
"Brendan Donovan","2B/3B","STL",3300,7.63,2.3,"2B/3B","3B","2B","MIL - Bush - R"
"Carson Kelly","C","ARI",3700,7.61,2.1,"C","","C","LAD - Kershaw - L"
"Leody Taveras","OF","TEX",2500,7.61,3,"OF","","OF","OAK - Waldichuk - L"
"Stone Garrett","OF","ARI",2400,7.61,3.2,"OF","","OF","LAD - Kershaw - L"
"Isiah Kiner-Falefa","3B/SS","NYY",2600,7.58,2.9,"3B/SS","SS","3B","@BOS - Pivetta - R"
"Aaron Hicks","OF","NYY",2000,7.58,3.8,"OF","","OF","@BOS - Pivetta - R"
"Mitch Haniger","OF","SEA",4300,7.54,1.8,"OF","","OF","SD - Darvish - R"
"Tyrone Taylor","OF","MIL",2800,7.54,2.7,"OF","","OF","@STL - Montgomery - L"
"Josh Jung","3B","TEX",2000,7.54,3.8,"3B","","3B","OAK - Waldichuk - L"
"Chad Pinder","OF","OAK",2000,7.54,3.8,"OF","","OF","@TEX - Ragans - L"
"Ty France","1B","SEA",3500,7.45,2.1,"1B","","1B","SD - Darvish - R"
"Bubba Thompson","OF","TEX",2600,7.4,2.8,"OF","","OF","OAK - Waldichuk - L"
"Wil Myers","1B/OF","SD",3000,7.39,2.5,"1B/OF","OF","1B","@SEA - Gilbert - R"
"Brendan Rodgers","2B","COL",4700,7.37,1.6,"2B","","2B","@CWS - Kopech - R"
"Luis Guillorme","2B/3B","NYM",2800,7.34,2.6,"2B/3B","3B","2B","CHC - Sampson - R"
"Mark Mathias","1B/2B","TEX",2600,7.31,2.8,"1B/2B","2B","1B","OAK - Waldichuk - L"
